타순,타자명,상대팀,교체여부,수비위치,타수,득점,안타,타점,홈런,볼넷,삼진,타율,1,2,3,4,5,6,7,8,9
1번,이용규,삼성,0,중견수,5,1,3,0,0,0,0,0.6,중안,-,유땅,-,중안,-,유땅,-,우2
2번,김원섭,삼성,0,좌익수,3,1,1,0,0,2,1,0.333,3땅,-,삼진,-,우2,-,4구,-,4구
3번,장성호,삼성,0,1루수,2,0,0,0,0,3,1,0.0,4구,-,4구,-,4구,-,삼진,-,우비
4번,나지완,삼성,0,우익수,3,0,0,1,0,0,1,0.0,삼진,-,우비,-,우희비,-,-,유땅,-
5번,최희섭,삼성,0,지명타자,4,0,0,0,0,0,2,0.0,삼진,-,-,포파,삼진,-,-,2땅,-
6번,이현곤,삼성,0,3루수,3,0,0,0,0,1,0,0.0,-,유땅,-,유땅,-,1파,-,4구,-
7번,발데스,삼성,0,유격수,4,0,0,0,0,0,2,0.0,-,투땅,-,유땅,-,삼진,-,삼진,-
8번,김상훈,삼성,0,포수,4,1,1,1,1,0,0,0.25,-,중비,-,-,좌홈,2비,-,-,중비
9번,김종국,삼성,0,2루수,3,0,1,0,0,0,0,0.333,-,-,좌중2,-,유땅,-,2비,-,-
9번,심재학,삼성,1,대타,1,0,0,0,0,0,0,0.0,-,-,-,-,-,-,-,-,유비
-,합계,삼성,0,-,32,3,6,2,1,6,7,-,-,-,-,-,-,-,-,-,-
